,elaped_time,pages_queued
1221,28.01,1222
1222,28.02,1223
1223,28.03,1224
1224,28.03,1225
1225,28.04,1226
1226,28.05,1227
1227,28.05,1228
1228,28.06,1229
1229,28.07,1230
1230,28.07,1231
1231,28.08,1232
1232,28.08,1233
1233,28.08,1234
1234,28.09,1235
1235,28.09,1236
1236,28.09,1237
1237,28.09,1238
1238,28.10,1239
1239,28.10,1240
1240,28.45,1241
1241,28.46,1242
1242,28.46,1243
1243,28.47,1244
